fe2,Financial Engineering and Risk Management Part II,"python, r"
analysenumerique,Analyse Numérique pour Ingénieurs,r
matrix,Coding the Matrix: Linear Algebra through Computer Science Applications,python
structures,L'art des structures 1 : Câbles et arcs,"c, r, f"
chuck101,Introduction to Programming for Musicians and Digital Artists,"c, r, java"
probas,Aléatoire : une Introduction aux Probabilités ,r
datasci,Introduction to Data Science,"python, r"
digitaldemocracy,Securing Digital Democracy,c
sna,Social Network Analysis,r
distributions,Initiation à la théorie des distributions,r
recsys,Introduction to Recommender Systems,java
posa,Pattern-Oriented Software Architectures for Concurrent and Networked Mobile Devices and Clouds,java
multivar,Çok Değişkenli Fonksiyonlarda Türev ve Entegral,"c, r, f"
java-fr,Introduction à la programmation orientée objet (en Java),"c, r, java"
ac,Analytic Combinatorics,java
aofa,Analysis of Algorithms,java
androidapps101,"Creative, Serious and Playful Science of Android Apps",java
vlsicad,VLSI CAD:  Logic to Layout,"c, java"
stats1,Statistics One,r
algs4partI,"Algorithms, Part I",java
algs4partII,"Algorithms, Part II",java
cplusplus4c,C++ For C Programmers,c
interactivepython,An Introduction to Interactive Programming in Python,python
compphoto,Computational Photography,python
netsysbio,Network Analysis in Systems Biology,python
sdn,Software Defined Networking,python
compilers,Compilers,"c, java"
security,Computer Security,c
android,Programming Handheld Systems with Android,java
introstats,Statistics: Making Sense of Data,r
neuralnets,Neural Networks for Machine Learning,python
datan,Core Concepts in Data Analysis,r
statistics,Data Analysis and Statistical Inference ,r
digitalsystems,Digital Systems - Sistemas Digitales: De las puertas lógicas al procesador,c
hwswinterface,The Hardware/Software Interface,"c, java"
hetero,Heterogeneous Parallel Programming,c
intro-cpp-fr,Initiation à la programmation (en C++),"c, r"
intro-java-fr,Initiation à la programmation (en Java),"r, java"
cpp-fr,Introduction à la programmation orientée objet (en C++),"c, r"
gameprogramming,Beginning Game Programming with C#,"c, java, actionscript"
programming1,Learn to Program: The Fundamentals,"python, f"
dataanalysis,Data Analysis,r
compdata,Computing for Data Analysis,r
programming2,Learn to Program: Crafting Quality Code,python
precalc,Pre-Calculus,c
precalculo,Matemáticas y movimiento,"c, f"
cyhfisica,Conceptos y Herramientas para la Física Universitaria,"c, f"
inf4oec,Informatik für Ökonomen,"r, f"
introgalois,Introduction à la théorie de Galois,"c, r"
reactive,Principles of Reactive Programming,scala
proglang,Programming Languages,"ruby, c, java"
progfun,Functional Programming Principles in Scala,"c, java, scala, python, javascript, ruby"
scicomp,High Performance Scientific Computing,"python, r"
startup,Startup Engineering,javascript
smac,Statistical Mechanics: Algorithms and Computations,python
nanosensors,Nanotechnology and Nanosensors,c
linearopt,Linear and Discrete Optimization,"python, java"
pkuic,Introduction to Computing 计算概论A,c
creatividad,Ser más creativos,c
assetpricing,Asset Pricing,"python, r"
