fe2,Financial Engineering and Risk Management Part II,en,https://www.coursera.org/maestro/api/topic/information?topic-id=fe2
designingcities,Designing Cities,en,https://www.coursera.org/maestro/api/topic/information?topic-id=designingcities
microcontroleurs,Comprendre les Microcontrôleurs,fr,https://www.coursera.org/maestro/api/topic/information?topic-id=microcontroleurs
ggp,General Game Playing,en,https://www.coursera.org/maestro/api/topic/information?topic-id=ggp
analysenumerique,Analyse Numérique pour Ingénieurs,fr,https://www.coursera.org/maestro/api/topic/information?topic-id=analysenumerique
matrix,Coding the Matrix: Linear Algebra through Computer Science Applications,en,https://www.coursera.org/maestro/api/topic/information?topic-id=matrix
structures,L'art des structures 1 : Câbles et arcs,fr,https://www.coursera.org/maestro/api/topic/information?topic-id=structures
chuck101,Introduction to Programming for Musicians and Digital Artists,en,https://www.coursera.org/maestro/api/topic/information?topic-id=chuck101
probas,Aléatoire : une Introduction aux Probabilités ,fr,https://www.coursera.org/maestro/api/topic/information?topic-id=probas
sem,Structural Equation Model and its Applications | 结构方程模型及其应用,zh-Hans,https://www.coursera.org/maestro/api/topic/information?topic-id=sem
scientificcomp,Scientific Computing,en,https://www.coursera.org/maestro/api/topic/information?topic-id=scientificcomp
inforiskman,Information Security and Risk Management in Context,en,https://www.coursera.org/maestro/api/topic/information?topic-id=inforiskman
infosec,Designing and Executing Information Security Strategies,en,https://www.coursera.org/maestro/api/topic/information?topic-id=infosec
datasci,Introduction to Data Science,en,https://www.coursera.org/maestro/api/topic/information?topic-id=datasci
comnetworks,Computer Networks,en,https://www.coursera.org/maestro/api/topic/information?topic-id=comnetworks
digitaldemocracy,Securing Digital Democracy,en,https://www.coursera.org/maestro/api/topic/information?topic-id=digitaldemocracy
sna,Social Network Analysis,en,https://www.coursera.org/maestro/api/topic/information?topic-id=sna
gamification,Gamification,en,https://www.coursera.org/maestro/api/topic/information?topic-id=gamification
networks,Networked Life,en,https://www.coursera.org/maestro/api/topic/information?topic-id=networks
